NDB_NO,SHRT_DESC,WATER_G,ENERG_KCAL,PROTEIN_G,LIPID_TOT_G,ASH_G,CARBOHYDRT_G,FIBER_TD_G,SUGAR_TOT_G,CALCIUM_MG,IRON_MG,MAGNESIUM_MG,PHOSPHORUS_MG,POTASSIUM_MG,SODIUM_MG,ZINC_MG,COPPER_MG,MANGANESE_MG,SELENIUM_ΜG,VIT_C_MG,THIAMIN_MG,RIBOFLAVIN_MG,NIACIN_MG,PANTO_ACID_MG,VIT_B6_MG,FOLATE_TOT_ΜG,FOLIC_ACID_ΜG,FOOD_FOLATE_ΜG,FOLATE_DFE_ΜG,CHOLINE_TOT__MG,VIT_B12_ΜG,VIT_A_IU,VIT_A_RAE,RETINOL_ΜG,ALPHA_CAROT_ΜG,BETA_CAROT_ΜG,BETA_CRYPT_ΜG,LYCOPENE_ΜG,LUT_ZEA__ΜG,VIT_E_MG,VIT_D_ΜG,VIT_D_IU,VIT_K_ΜG,FA_SAT_G,FA_MONO_G,FA_POLY_G,CHOLESTRL_MG,GMWT_1,GMWT_DESC1,GMWT_2,GMWT_DESC2,REFUSE_PCT
16161,mori-nu,89,55,4.8,2.7,0.6,2.9,0.1,1.31,31,0.82,29,62,180,5,0.52,0.207,,,0,0.1,0.04,0.3,,0.011,,,,,,0,0,0,0,,,,,,,,,,0.357,0.522,1.55,0,84,1 slice,,,0
07050,mortadella,52.3,311,16.37,25.39,2.89,3.05,0,0,18,1.4,11,97,163,1246,2.1,0.06,0.03,22.6,0,0.119,0.153,2.673,0.44,0.13,3,0,3,3,72.2,1.48,0,0,0,0,0,0,0,0,0.22,1,41,1.6,9.51,11.38,3.12,56,28.35,1 oz,15,"1 slice, (15 per 8 oz package)",0
16078,mothbeans,9.68,343,22.94,1.61,4.26,61.52,,,150,10.85,381,489,1191,30,1.92,0.688,1.82,8.2,4,0.562,0.091,2.8,1.535,0.366,649,0,649,649,,0,32,2,0,,,,,,,0,0,,0.364,0.129,0.75,0,196,1 cup,,,0
07061,mother's loaf,54.9,282,12.07,22.3,3.2,7.53,0,,43,1.32,16,129,225,1127,1.43,0.09,0.066,35.1,1,0.55,0.17,3.123,0.47,0.18,8,0,8,8,,1.05,0,0,0,,,,,,,1,40,,7.95,10.34,2.58,45,28.35,1 oz,21,"1 slice, (4-1/4"" x 4-1/4"" x 1/16"")",0
11258,mountain yam,81.44,67,1.34,0.1,0.82,16.3,2.5,0.31,26,0.44,12,34,418,13,0.27,0.11,0.242,0.7,2.6,0.102,0.019,0.481,0.433,0.179,14,0,14,14,,0,0,,0,,,,,,0.21,0,0,1.4,0.022,0.004,0.045,0,68,".5 cup, cubes",420,1 yam,17
35052,mouse nuts,77.2,81,3.9,0.1,2.7,16.1,,,22,,,175,,,,,,,16,0.01,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18940,muffins,39.94,255,4.23,4.22,1.56,50.05,4.2,27.05,35,2,10,125,96,413,1.27,0.08,0.785,9.8,0.9,0.163,0.175,1.375,0.251,0.042,48,36,12,73,51.7,0.16,39,10,10,0,3,1,0,56,0.39,0.1,3,5.7,1.549,0.86,1.363,28,71,"1 muffin, small",28.35,1 oz,0
09190,mulberries,87.68,43,1.44,0.39,0.69,9.8,1.7,8.1,39,1.85,18,38,194,10,0.12,0.06,,0.6,36.4,0.029,0.101,0.62,,0.05,6,0,6,6,12.3,0,25,1,0,12,9,0,0,136,0.87,0,0,7.8,0.027,0.041,0.207,0,140,1 cup,15,10 fruit,0
15055,mullet,77.01,117,19.35,3.79,1.2,0,0,0,41,1.02,29,221,357,65,0.52,0.051,0.016,36.5,1.2,0.09,0.08,5.2,0.76,0.425,9,0,9,9,70.2,0.22,123,37,37,0,0,0,0,0,1,1.5,61,0.1,1.116,1.078,0.715,49,28.35,1 oz,119,1 fillet,0
16516,multigrain cutlets,66.69,117,23.29,1.5,1.22,7.3,4.5,0.2,22,1.7,3,56,105,371,1,,,,0,0.05,1.33,26.29,,0.5,2,0,2,2,,0,0,,,,,,,,18.09,0,0,,0.3,0.2,0.8,0,92,2 slices,,,0
11043,mung beans,90.4,30,3.04,0.18,0.44,5.94,1.8,4.13,13,0.91,21,54,149,6,0.41,0.164,0.188,0.6,13.2,0.084,0.124,0.749,0.38,0.088,61,0,61,61,14.4,0,21,1,0,6,6,6,0,0,0.1,0,0,33,0.046,0.022,0.058,0,104,1 cup,340,"1 package, (12 oz)",0
16083,mungo bns,10.8,341,25.21,1.64,3.36,58.99,18.3,,138,7.57,267,379,983,38,3.35,0.981,1.527,8.2,0,0.273,0.254,1.447,0.906,0.281,216,0,216,216,,0,23,1,0,,,,,,,0,0,,0.114,0.085,1.071,0,207,1 cup,,,0
28210,murray,0.7,458,3.2,27.6,,68.5,14.3,0.8,,1.5,7,40,57,81,,,,,,0.24,0.15,1.8,,,47,,47,,,,,,,,,,,,,,,,9.3,6.9,10.9,0,28,4 cookies,,,0
35130,mush,86.67,54,0.66,0.49,0.44,11.74,1.1,0.19,96,2.92,20,39,58,8,0.76,0.048,0.305,0.9,0,0.02,0.015,0.283,0.078,0.049,4,,4,,,,,,,,,,,,0,,,0,0.074,0.109,0.208,,,,,,0
11938,mushroom,92.45,22,3.09,0.34,0.85,3.26,1,1.98,3,0.5,9,86,318,5,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,0,17,17,17.3,0,0,,0,,,,,,0.01,26.2,1046,0,0.05,0,0.16,0,70,"1 cup, pieces or slices",96,"1 cup, whole",0
32023,mushroom & asparagus risotto,74.6,116,4.3,3.7,0.4,17,2.6,1.3,67,0.8,,62,116,206,0.3,,,,0,0.1,0,0.4,,0.08,3,,,,,0,0,,,,,,,,,,0,,1.9,0.7,0.4,9,284,.5 package,,,0
11238,mushrooms,89.74,34,2.24,0.49,0.73,6.79,2.5,2.38,2,0.41,20,112,304,9,1.03,0.142,0.23,5.7,,0.015,0.217,3.877,1.5,0.293,13,0,13,13,,,,,,,,,,,,0.4,18,,,,,,19,"1 piece, whole",,,0
15164,mussel,80.58,86,11.9,2.24,1.59,3.69,0,0,26,3.95,34,197,320,286,1.6,0.094,3.4,44.8,8,0.16,0.21,1.6,0.5,0.05,42,0,42,42,65,12,160,48,48,0,0,0,0,0,0.55,0,0,0.1,0.425,0.507,0.606,28,150,1 cup,28.35,1 oz,0
02046,mustard,83.72,60,3.74,3.34,3.37,5.83,4,0.92,63,1.61,48,108,152,1104,0.64,0.074,0.422,33.5,0.3,0.177,0.07,0.565,0.254,0.07,7,0,7,7,22.4,0,109,5,0,1,51,27,0,113,0.36,0,0,1.4,0.214,2.182,0.774,0,5,"1 tsp, or 1 packet",249,1 cup,0
11271,mustard greens,91.78,26,2.56,0.47,0.69,4.51,2,1.41,118,0.87,13,42,162,9,0.22,0.146,,0.6,25.3,0.041,0.063,0.433,0.12,0.098,9,0,9,9,0.4,0,12370,618,0,9,7400,35,0,10400,1.78,0,0,592.7,0.012,0.11,0.046,0,140,"1 cup, chopped",,,0
11274,mustard spinach,92.2,22,2.2,0.3,1.4,3.9,2.8,,210,1.5,11,28,449,21,0.17,0.075,0.407,0.8,130,0.068,0.093,0.678,0.178,0.153,159,0,159,159,,0,9900,495,0,,,,,,,0,0,,0.015,0.138,0.057,0,150,"1 cup, chopped",,,7
35141,mutton,54,234,33.43,11.09,1.41,0.08,,,10,4.76,31,272,409,135,5.93,0.062,0.033,38,,0.06,0.3,6.52,0.897,0.377,0,,0,,100.6,4.44,,,,,,,,,0.8,,,,5.142,4.459,0.814,109,28.35,1 oz,,,0
18617,nabisco,3.6,424,6.99,10,2.8,76.2,3.4,23,79,4.13,59,202,177,659,1.94,0.03,,,0,0.228,0.24,3.78,,0.1,46,,,,,,0,,,,,,,,,,,,1.56,3.6,0.46,0,28,1 serving,,,0
09448,nance,74.85,95,0.56,1.28,0.52,22.79,7,15.66,42,0.37,16,7,194,8,0.06,0.053,0.172,,10.8,0.015,0.02,0.3,,0.015,,,,,,,,,,,,,,,,,,,,,,,11.1,"3 fruit, without pits",,,
09450,naranjilla (lulo) pulp,93.05,25,0.44,0.22,0.39,5.9,1.1,3.74,8,0.35,11,12,200,4,0.1,0.028,0.067,0.4,3.2,0.045,0,1.45,0.22,0.107,3,0,3,3,,,568,28,,4,333,10,0,299,0.75,,,14.6,,,,,120,"1 cup, thawed",,,0
16113,natto,55.02,211,19.4,11,1.9,12.68,5.4,4.89,217,8.6,115,174,729,7,3.03,0.667,1.528,8.8,13,0.16,0.19,0,0.215,0.13,8,0,8,8,57,0,0,0,0,0,0,0,0,0,0.01,0,0,23.1,1.591,2.43,6.21,0,175,1 cup,,,0
09191,nectarines,87.59,44,1.06,0.32,0.48,10.55,1.7,7.89,6,0.28,9,26,201,0,0.17,0.086,0.054,0,5.4,0.034,0.027,1.125,0.185,0.025,5,0,5,5,6.2,0,332,17,0,0,150,98,0,130,0.77,0,0,2.2,0.025,0.088,0.113,0,143,"1 cup, slices",129,"1 small, (2-1/3"" dia)",9
07091,new engl br sausage,66.77,161,17.27,7.58,3.55,4.83,0,,7,0.94,16,136,321,1220,2.7,0.1,0.036,19.2,0,0.64,0.248,3.478,0.68,0.36,7,0,7,7,,1.34,0,0,0,,,,,,,,,,2.56,3.64,0.72,49,23,"1 slice, (4"" dia x 1/8"" thick)",28.35,1 oz,0
16082,noodles,13.42,351,0.16,0.06,0.27,86.09,0.5,0,25,2.17,3,32,10,10,0.41,0.081,0.1,7.9,0,0.15,0,0.2,0.1,0.05,2,0,2,2,93.2,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.017,0.008,0.018,0,140,1 cup,,,0
11963,nopales,94.12,16,1.32,0.09,1.14,3.33,2.2,1.15,164,0.59,52,16,257,21,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.41,0.167,0.07,3,0,3,3,7.3,0,457,23,0,48,250,0,0,0,0,0,0,5.3,0.016,0.018,0.05,0,86,"1 cup, sliced",,,4
02025,nutmeg,6.23,525,5.84,36.31,2.34,49.29,20.8,2.99,184,3.04,183,213,350,16,2.15,1.027,2.9,1.6,3,0.346,0.057,1.299,,0.16,76,0,76,76,8.8,0,102,5,0,0,28,66,0,0,0,0,0,0,25.94,3.22,0.35,0,2.2,1 tsp,7,1 tbsp,0
12087,nuts,5.2,553,18.22,43.85,2.54,30.19,3.3,5.91,37,6.68,292,593,660,12,5.78,2.195,1.655,19.9,0.5,0.423,0.058,1.062,0.864,0.417,25,0,25,25,,0,0,0,0,0,0,0,0,22,0.9,0,0,34.1,7.783,23.797,7.845,0,28.35,1 oz,,,
20033,oat bran,6.55,246,17.3,7.03,2.89,66.22,15.4,1.45,58,5.41,235,734,566,4,3.11,0.403,5.63,45.2,0,1.17,0.22,0.934,1.494,0.165,52,0,52,52,32.2,0,0,0,0,0,0,0,0,180,1.01,0,0,3.2,1.328,2.376,2.766,0,94,1 cup,,,0
20132,oat flour,8.55,404,14.66,9.12,1.97,65.7,6.5,0.8,55,4,144,452,371,19,3.2,0.437,4.019,34,0,0.692,0.125,1.474,0.201,0.125,32,0,32,32,29.9,0,0,0,0,0,0,0,0,180,0.7,0,0,3.2,1.607,2.866,3.329,0,104,1 cup,,,0
20038,oats,8.22,389,16.89,6.9,1.72,66.27,10.6,,54,4.72,177,523,429,2,3.97,0.626,4.916,,0,0.763,0.139,0.961,1.349,0.119,56,0,56,56,,0,0,0,0,,,,,,,0,0,,1.217,2.178,2.535,0,156,1 cup,,,0
15057,ocean perch,83.07,79,15.31,1.54,1.2,0,0,0,28,0.22,23,248,187,287,0.29,0.021,0.011,28.6,0,0.04,0.048,1.005,0.272,0.073,9,0,9,9,65,1.5,40,12,12,0,0,0,0,0,0.76,1.2,48,0.1,0.273,0.475,0.304,52,28.35,"1 oz, boneless",64,1 fillet,0
35054,octopus,84,56,12.3,0.8,1.5,0,,,35,4.9,,158,,,1.43,0.37,0.021,,0,0.03,0.04,2,,,,,,,,,0,,,,,,,,,,,,0.2,,0.2,41,,,,,0
15166,octopus,80.25,82,14.91,1.04,1.6,2.2,0,0,53,5.3,30,186,350,230,1.68,0.435,0.025,44.8,5,0.03,0.04,2.1,0.5,0.36,16,0,16,16,65,20,150,45,45,0,0,0,0,0,1.2,0,0,0.1,0.227,0.162,0.239,48,85,3 oz,,,0
09192,oheloberries,92.3,28,0.38,0.22,0.26,6.84,,,7,0.09,6,10,38,1,,,,,6,0.017,0.036,0.27,,,,,,,,0,830,42,0,,,,,,,,,,,,,0,140,1 cup,11,10 fruit,0
04034,oil,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.1,0,0,24.7,14.9,43,37.6,0,13.6,1 tbsp,218,1 cup,0
16130,okara,81.64,76,3.52,1.73,0.88,12.23,,,80,1.3,26,60,213,9,0.56,0.2,0.404,10.6,0,0.02,0.02,0.1,0.088,0.115,26,0,26,26,,0,0,0,0,,,,,,,0,0,,0.193,0.295,0.755,0,122,1 cup,,,0
11278,okra,89.58,33,1.93,0.19,0.86,7.45,3.2,1.48,82,0.62,57,61,299,7,0.58,0.109,0.788,0.7,23,0.2,0.06,1,0.245,0.215,60,0,60,60,12.3,0,716,36,0,27,416,0,0,280,0.27,0,0,31.3,0.026,0.017,0.027,0,100,1 cup,95,"8 pods, (3"" long)",14
36042,olive garden,65.29,184,11.28,10.84,2.25,10.33,1.6,3.53,211,0.75,22,183,258,450,1.31,0.061,0.113,15.2,0.7,0.16,0.273,1.93,0.515,,35,,,,33.5,0.55,414,60,48,0,153,0,2177,105,0.86,,,6.8,5.347,3.203,0.789,40,422,1 serving,,,0
07051,olive loaf,58.2,235,11.8,16.5,4.3,9.2,0,0,109,0.54,19,127,297,964,1.38,0.05,0.035,16.4,0,0.295,0.26,1.835,0.77,0.23,2,0,2,2,66.7,1.26,200,60,60,0,0,0,0,0,0.25,1.1,44,3.4,5.85,7.87,1.93,38,28,"1 slice, (1 oz) (4"" x 4"" x 3/32"" thick)",57,2 slices,0
09193,olives,79.99,115,0.84,10.68,2.23,6.26,3.2,0,88,3.3,4,3,8,735,0.22,0.251,0.02,0.9,0.9,0.003,0,0.037,0.015,0.009,0,0,0,0,10.3,0,403,20,0,0,237,9,0,510,1.65,0,0,1.4,1.415,7.888,0.911,0,8.4,1 tbsp,4.4,1 large,0
02026,onion powder,5.39,341,10.41,1.04,4.04,79.12,15.2,6.63,384,3.9,113,322,985,73,4.05,0.59,1.3,14.3,23.4,0.457,0.08,0.321,0.732,0.718,64,0,64,64,39,0,0,0,0,0,0,0,0,0,0.27,0,0,4.1,0.219,0.202,0.31,0,2.4,1 tsp,6.9,1 tbsp,0
11295,onion rings,51.22,258,3.15,14.1,1,30.53,1.8,,46,0.93,14,49,190,246,0.36,0.074,0.299,2.4,4.6,0.1,0.079,0.693,0.24,0.132,48,29,19,68,,0,0,0,0,,,,,,,0,0,,4.534,5.738,2.7,0,85,6 rings,454,"1 package, (16 oz)",0
11282,onion,89.11,40,1.1,0.1,0.35,9.34,1.7,4.24,23,0.21,10,29,146,4,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19,0,19,19,6.1,0,2,0,0,0,1,0,0,4,0.02,0,0,0.4,0.042,0.013,0.017,0,160,"1 cup, chopped",115,"1 cup, sliced",10
