NDB_NO,SHRT_DESC,WATER_G,ENERG_KCAL,PROTEIN_G,LIPID_TOT_G,ASH_G,CARBOHYDRT_G,FIBER_TD_G,SUGAR_TOT_G,CALCIUM_MG,IRON_MG,MAGNESIUM_MG,PHOSPHORUS_MG,POTASSIUM_MG,SODIUM_MG,ZINC_MG,COPPER_MG,MANGANESE_MG,SELENIUM_ΜG,VIT_C_MG,THIAMIN_MG,RIBOFLAVIN_MG,NIACIN_MG,PANTO_ACID_MG,VIT_B6_MG,FOLATE_TOT_ΜG,FOLIC_ACID_ΜG,FOOD_FOLATE_ΜG,FOLATE_DFE_ΜG,CHOLINE_TOT__MG,VIT_B12_ΜG,VIT_A_IU,VIT_A_RAE,RETINOL_ΜG,ALPHA_CAROT_ΜG,BETA_CAROT_ΜG,BETA_CRYPT_ΜG,LYCOPENE_ΜG,LUT_ZEA__ΜG,VIT_E_MG,VIT_D_ΜG,VIT_D_IU,VIT_K_ΜG,FA_SAT_G,FA_MONO_G,FA_POLY_G,CHOLESTRL_MG,GMWT_1,GMWT_DESC1,GMWT_2,GMWT_DESC2,REFUSE_PCT
01059,2% milk,87.67,63,3.33,3.46,0.8,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.002,2,0.9,0.03,0.123,0.087,0.301,0.04,5,0,5,5,,0.34,7,2,2,,,,,,,,,,0.768,1.783,0.75,2,244,1 cup,976,1 quart,0
15155,abalone,74.56,105,17.1,0.76,1.57,6.01,0,0,31,3.19,48,190,250,301,0.82,0.196,0.04,44.8,2,0.19,0.1,1.5,3,0.15,5,0,5,5,65,0.73,7,2,2,0,0,0,0,0,4,0,0,23,0.149,0.107,0.104,85,85,3 oz,,,0
09427,abiyuch,79.9,69,1.5,0.1,0.9,17.6,5.3,8.55,8,1.61,24,47,304,20,0.31,0.057,0.182,,54.1,,,,,,,,,,,,100,5,0,0,60,,,,,,,,0.014,,,,114,.5 cup,,,
09001,acerola,91.41,32,0.4,0.3,0.2,7.69,1.1,,12,0.2,18,11,146,7,0.1,0.086,,0.6,1677.6,0.02,0.06,0.4,0.309,0.009,14,0,14,14,,0,767,38,0,,,,,,,,,,0.068,0.082,0.09,0,98,1 cup,4.8,"1 fruit, without refuse",20
09002,acerola juice,94.3,23,0.4,0.3,0.2,4.8,0.3,4.5,10,0.5,12,9,97,3,0.1,0.086,,0.1,1600,0.02,0.06,0.4,0.205,0.004,14,0,14,14,,0,509,25,0,0,305,0,0,17,0.18,,,1.4,0.068,0.082,0.09,0,242,1 cup,30.2,1 fl oz,0
12060,acorn flour,6,501,7.49,30.17,1.69,54.65,,,43,1.21,110,103,712,0,0.64,0.611,1.743,,0,0.146,0.154,2.382,0.931,0.688,114,0,114,114,,0,51,3,0,,,,,,,,,,3.923,19.11,5.813,0,28.35,1 oz,,,0
35182,acorn stew,79.78,95,6.81,3.47,0.72,9.22,0.7,0.34,14,1,12,62,110,130,1.6,0.03,0.14,8.3,0,0.175,0.125,2.14,0.212,0.055,33,15,18,44,,0.68,0,0,0,,,,,,0.3,,,0,1.28,1.68,0.297,20,,,,,0
12058,acorns,27.9,387,6.15,23.86,1.35,40.75,,,41,0.79,62,79,539,0,0.51,0.621,1.337,,0,0.112,0.118,1.827,0.715,0.528,87,0,87,87,,0,39,2,0,,,,,,,,,,3.102,15.109,4.596,0,28.35,1 oz,,,38
35192,agave,81.83,68,0.52,0.15,1.27,16.23,6.6,2.58,417,1.8,55,7,127,14,0.15,0.138,0.094,0.4,4,0.029,0.039,0.162,0.041,0.055,7,0,7,7,,0,37,2,0,0,22,0,0,,0.23,0,0,5.3,,,,0,,,,,0
35001,agutuk,47.3,353,3.4,31.8,4.1,13.4,0.5,,8,0.3,7,46,70,21,0.18,0.03,0.13,,2.9,0.04,0.05,0.55,0.02,0.01,3,,3,,,,696,,,,,,,,2.36,,,,7.7,14.4,8.4,10,,,,,0
14003,alcoholic beverage,91.96,43,0.46,0,0.16,3.55,0,0,4,0.02,6,14,27,4,0.01,0.005,0.008,0.6,0,0.005,0.025,0.513,0.041,0.046,6,0,6,6,10.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7,1 fl oz,356,1 can,0
11001,alfalfa seeds,92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,32,0.96,27,70,79,6,0.92,0.157,0.188,0.6,8.2,0.076,0.126,0.481,0.563,0.034,36,0,36,36,14.4,0,155,8,0,6,87,6,0,0,0.02,0,0,30.5,0.069,0.056,0.409,0,33,1 cup,3,1 tbsp,0
02001,allspice,8.46,263,6.09,8.69,4.65,72.12,21.6,,661,7.06,135,113,1044,77,1.01,0.553,2.943,2.7,39.2,0.101,0.063,2.86,,0.21,36,0,36,36,,0,540,27,0,,,,,,,0,0,,2.55,0.66,2.36,0,1.9,1 tsp,6,1 tbsp,0
12195,almond butter,1.64,614,20.96,55.5,3.09,18.82,10.3,4.43,347,3.49,279,508,748,7,3.29,0.934,2.131,2.4,0,0.041,0.939,3.155,0.318,0.103,53,0,53,53,52.1,0,1,0,0,0,1,0,0,1,24.21,0,0,0,4.152,32.445,13.613,0,16,1 tbsp,250,1 cup,0
12071,almond paste,14.08,458,9,27.74,1.37,47.81,4.8,36.25,172,1.6,130,258,314,9,1.48,0.454,0.856,4.2,0.1,0.082,0.414,1.422,0.113,0.036,73,0,73,73,28.5,0,0,0,0,0,0,0,0,1,13.54,0,0,0,2.629,18.012,5.821,0,28.35,1 oz,227,"1 cup, firmly packed",0
12061,almonds,4.41,579,21.15,49.93,2.97,21.55,12.5,4.35,269,3.71,270,481,733,1,3.12,1.031,2.179,4.1,0,0.205,1.138,3.618,0.471,0.137,44,0,44,44,52.1,0,2,0,0,0,1,0,0,1,25.63,0,0,0,3.802,31.551,12.329,0,143,"1 cup, whole",92,"1 cup, sliced",60
10852,always tender,71.9,119,18.2,3.07,2.2,4.63,,3.33,7,1,22,,536,413,1.5,0.1,,,2.7,,,,,,,,,,,,0,,,,,,,,,,,,1.05,1.26,0.6,46,112,4 oz,,,0
20001,amaranth grain,11.29,371,13.56,7.02,2.88,65.25,6.7,1.69,159,7.61,248,557,508,4,2.87,0.525,3.333,18.7,4.2,0.116,0.2,0.923,1.457,0.591,82,0,82,82,69.8,0,2,0,0,0,1,0,0,28,1.19,0,0,0,1.459,1.685,2.778,0,193,1 cup,,,0
11003,amaranth leaves,91.69,23,2.46,0.33,1.5,4.02,,,215,2.32,55,50,611,20,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85,0,85,85,,0,2917,146,0,,,,,,,0,0,1140,0.091,0.076,0.147,0,28,1 cup,14,1 leaf,6
15001,anchovies,73.37,131,20.35,4.84,1.44,0,0,0,147,3.25,41,174,383,104,1.72,0.211,0.07,36.5,0,0.055,0.256,14.024,0.645,0.143,9,0,9,9,,0.62,50,15,15,0,0,0,0,0,0.57,,,0.1,1.282,1.182,1.637,60,85,3 oz,,,0
15001,anchovy,73.37,131,20.35,4.84,1.44,0,0,0,147,3.25,41,174,383,104,1.72,0.211,0.07,36.5,0,0.055,0.256,14.024,0.645,0.143,9,0,9,9,,0.62,50,15,15,0,0,0,0,0,0.57,,,0.1,1.282,1.182,1.637,60,85,3 oz,,,0
04609,animal fat,0,897,0,99.5,0.5,0,0,0,0,0,0,0,0,150,0.11,0,,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0,0.6,2.5,101,0,39.004,44.874,11.144,95,4.3,1 tsp,,,0
02002,anise seed,9.54,337,17.6,15.9,6.95,50.02,14.6,,646,36.96,170,440,1441,16,5.3,0.91,2.3,5,21,0.34,0.29,3.06,0.797,0.65,10,0,10,10,,0,311,16,0,,,,,,,0,0,,0.586,9.78,3.15,0,2.1,"1 tsp, whole",6.7,"1 tbsp, whole",0
09016,apple juice,88.24,46,0.1,0.13,0.23,11.3,0.2,9.62,8,0.12,5,7,101,4,0.02,0.012,0.074,0.1,0.9,0.021,0.017,0.073,0.049,0.018,0,0,0,0,1.8,0,1,0,0,0,0,0,0,16,0.01,0,0,0,0.022,0.006,0.039,0,248,1 cup,31,1 fl oz,0
09016,apple,88.24,46,0.1,0.13,0.23,11.3,0.2,9.62,8,0.12,5,7,101,4,0.02,0.012,0.074,0.1,0.9,0.021,0.017,0.073,0.049,0.018,0,0,0,0,1.8,0,1,0,0,0,0,0,0,16,0.01,0,0,0,0.022,0.006,0.039,0,248,1 cup,31,1 fl oz,0
09003,apples,85.56,52,0.26,0.17,0.19,13.81,2.4,10.39,6,0.12,5,11,107,1,0.04,0.027,0.035,0,4.6,0.017,0.026,0.091,0.061,0.041,3,0,3,3,3.4,0,54,3,0,0,27,11,0,29,0.18,0,0,2.2,0.028,0.007,0.051,0,125,"1 cup, quartered or chopped",109,"1 cup, slices",10
09019,applesauce,88.22,42,0.17,0.1,0.24,11.27,1.1,9.39,4,0.23,3,5,74,2,0.03,0.027,0.025,0.3,1,0.026,0.03,0.084,0.041,0.027,3,0,3,3,2.2,0,29,1,0,0,13,9,0,18,0.16,0,0,0.5,0.008,0.002,0.014,0,244,1 cup,,,0
09036,apricot nectar,84.87,56,0.37,0.09,0.29,14.39,0.6,13.79,7,0.38,5,9,114,3,0.09,0.073,0.032,0,0.6,0.009,0.014,0.26,0.096,0.022,1,0,1,1,1,0,1316,66,0,0,786,7,0,14,0.31,0,0,1.2,0.006,0.038,0.017,0,251,1 cup,31.4,1 fl oz,0
09021,apricots,86.35,48,1.4,0.39,0.75,11.12,2,9.24,13,0.39,10,23,259,1,0.2,0.078,0.077,0.1,10,0.03,0.04,0.6,0.24,0.054,9,0,9,9,2.8,0,1926,96,0,19,1094,104,0,89,0.89,0,0,3.3,0.027,0.17,0.077,0,155,"1 cup, halves",165,"1 cup, sliced",7
09021,apricot,86.35,48,1.4,0.39,0.75,11.12,2,9.24,13,0.39,10,23,259,1,0.2,0.078,0.077,0.1,10,0.03,0.04,0.6,0.24,0.054,9,0,9,9,2.8,0,1926,96,0,19,1094,104,0,89,0.89,0,0,3.3,0.027,0.17,0.077,0,155,"1 cup, halves",165,"1 cup, sliced",7
18513,archway home style cookies,5,442,5.54,20.92,1.34,67.2,1.9,1.26,20,1.96,,,87,308,,,,,0,0.27,0.17,1.81,,,58,,,,,,1,,,,,,,,,,,,4.9,7.86,1.31,0,24,1 serving,,,0
11005,arrowhead,72.48,99,5.33,0.29,1.67,20.23,,,10,2.57,51,174,922,22,0.28,0.171,0.36,0.7,1.1,0.17,0.073,1.65,0.599,0.26,14,0,14,14,,0,0,0,0,,,,,,,0,0,,,,,0,25,1 large,12,1 medium,25
11697,arrowroot,80.75,65,4.24,0.2,1.42,13.39,1.3,,6,2.22,25,98,454,26,0.63,0.121,0.174,0.7,1.9,0.143,0.059,1.693,0.292,0.266,338,0,338,338,,0,19,1,0,0,11,0,,,,0,0,,0.039,0.004,0.092,0,120,"1 cup, sliced",33,1 root,15
20003,arrowroot flour,11.37,357,0.3,0.1,0.08,88.15,3.4,,40,0.33,3,5,11,2,0.07,0.04,0.47,,0,0.001,0,0,0.13,0.005,7,0,7,7,,0,0,0,0,,,,,,,0,0,,0.019,0.002,0.045,0,128,1 cup,,,0
11007,artichoke hearts,84.94,47,3.27,0.15,1.13,10.51,5.4,0.99,44,1.28,60,90,370,94,0.49,0.231,0.256,0.2,11.7,0.072,0.066,1.046,0.338,0.116,68,0,68,68,34.4,0,13,1,0,0,8,0,0,464,0.19,0,0,14.8,0.036,0.005,0.064,0,128,"1 artichoke, medium",162,"1 artichoke, large",60
11959,arugula,91.71,25,2.58,0.66,1.4,3.65,1.6,2.05,160,1.46,47,52,369,27,0.47,0.076,0.321,0.3,15,0.044,0.086,0.305,0.437,0.073,97,0,97,97,15.3,0,2373,119,0,0,1424,0,0,3555,0.43,0,0,108.6,0.086,0.049,0.319,0,2,1 leaf,10,.5 cup,40
35004,ascidians,90.4,20,3.8,0.5,3.1,0,,,47,3.3,,,102,656,,,,,0,0,0.2,0,,,,,,,,,0,,,,,,,,,,,,0.1,0.12,0.2,7,,,,,0
11011,asparagus,93.22,20,2.2,0.12,0.58,3.88,2.1,1.88,24,2.14,14,52,202,2,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52,0,52,52,16,0,756,38,0,9,449,0,0,710,1.13,0,0,41.6,0.04,0,0.05,0,134,1 cup,12,"1 spear, small (5"" long or less)",47
18983,austin,2.7,495,7.9,24.5,,61.4,1.8,14.6,151,3,10,195,310,839,,,,,,0.39,0.25,3.5,,,99,,,,,,,,,,,,,,,,,,6.1,5.3,11.8,3,39,1 package,,,0
09037,avocado,73.23,160,2,14.66,1.58,8.53,6.7,0.66,12,0.55,29,52,485,7,0.64,0.19,0.142,0.4,10,0.067,0.13,1.738,1.389,0.257,81,0,81,81,14.2,0,146,7,0,24,62,28,0,271,2.07,0,0,21,2.126,9.799,1.816,0,150,"1 cup, cubes",230,"1 cup, pureed",26
09037,avocados,73.23,160,2,14.66,1.58,8.53,6.7,0.66,12,0.55,29,52,485,7,0.64,0.19,0.142,0.4,10,0.067,0.13,1.738,1.389,0.257,81,0,81,81,14.2,0,146,7,0,24,62,28,0,271,2.07,0,0,21,2.126,9.799,1.816,0,150,"1 cup, cubes",230,"1 cup, pureed",26
03001,babyfood,12.89,347,0,0.02,0.29,86.68,0,57.4,12,0.24,7,9,54,89,0.03,0.037,0.062,1.9,8,0.015,0.01,0.057,0.052,0.014,1,0,1,1,9.1,0,2,0,0,0,1,0,0,2,0.01,0,0,0,0,0,0,0,28,1 packet,,,0
07974,bacon,58.93,253,13.33,20,2.93,4.8,0,0,10,0.72,19,145,156,900,1.61,0.063,0.011,19.4,24,0.029,0.183,6.222,0.616,0.401,6,0,6,6,56.9,0.66,25,8,8,0,0,0,0,0,2.7,0.2,10,10.8,6.667,8.571,4.275,100,15,1 serving,,,0
43212,bacon bits,8,476,32,25.9,5.5,28.6,10.2,0,101,0.72,95,217,145,1770,1.87,0.539,,7.4,1.9,0.6,0.07,1.6,,0.08,127,0,127,127,134.8,1.2,0,0,0,0,0,0,0,0,6.9,0,0,0,4.055,6.225,13.548,0,7,1 tbsp,,,0
18001,bagel,33.81,264,10.56,1.32,1.93,52.38,1.6,8.43,219,3.57,29,99,107,422,0.83,0.128,0.539,21.5,0,0.568,0.344,4.515,0.407,0.07,106,82,24,163,14.6,0,0,0,0,0,0,0,0,0,7.46,0,0,0.2,0.36,0.39,0.526,0,99,1 bagel,26,"1 mini bagel, (2-1/2"" dia)",0
18002,bagels,28.27,287,11.14,1.43,1.76,57.39,1.8,9.14,15,4.5,24,92,116,457,1.3,0.15,0.575,25.2,0,0.602,0.27,4.375,0.229,0.07,131,103,28,203,15.8,0,0,0,0,0,0,0,0,55,0.12,0,0,1,0.229,0.245,0.554,0,24,"1 mini bagel, (2-1/2"" dia)",65,"1 small bagel, (3"" dia)",0
16200,baked beans,69.4,123,3.85,1.92,1.75,23.08,6.2,10,31,1.11,,,,362,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.385,,,4,130,.5 cup,130,1 serving,0
19139,baking chocolate,1.27,517,4.44,26.15,2.07,65.96,6.7,53.07,34,2.91,,,,2,,,,,0,,,,,,,,,,,,74,,,,,,,,,,,,15.618,,,3,14,"1 serving, 0.5 oz, about 1 tbsp",340,"1 package, (net weight, 12 oz)",0
11022,balsam-pear (bitter gourd),89.25,30,5.3,0.69,1.47,3.29,,,84,2.04,85,99,608,11,0.3,0.201,0.536,0.9,88,0.181,0.362,1.11,0.063,0.803,128,0,128,128,,0,1734,87,0,,,,,,,0,0,,,,,0,4,1 leaf,24,.5 cup,62
11026,bamboo shoots,91,27,2.6,0.3,0.9,5.2,2.2,3,13,0.5,3,59,533,4,1.1,0.19,0.262,0.8,4,0.15,0.07,0.6,0.161,0.24,7,0,7,7,0,0,20,1,0,0,12,0,0,0,1,0,0,0,0.069,0.007,0.134,0,151,"1 cup, (1/2"" slices)",76,".5 cup, (1/2"" pieces)",71
19400,banana chips,4.3,519,2.3,33.6,1.4,58.4,7.7,35.34,18,1.25,76,56,536,6,0.75,0.205,1.56,1.5,6.3,0.085,0.017,0.71,0.62,0.26,14,0,14,14,21.3,0,83,4,0,32,34,0,0,46,0.24,0,0,1.3,28.97,1.95,0.63,0,28.35,1 oz,85,3 oz,0
09040,banana,74.91,89,1.09,0.33,0.82,22.84,2.6,12.23,5,0.26,27,22,358,1,0.15,0.078,0.27,1,8.7,0.031,0.073,0.665,0.334,0.367,20,0,20,20,9.8,0,64,3,0,25,26,0,0,22,0.1,0,0,0.5,0.112,0.032,0.073,0,225,"1 cup, mashed",150,"1 cup, sliced",36
09040,bananas,74.91,89,1.09,0.33,0.82,22.84,2.6,12.23,5,0.26,27,22,358,1,0.15,0.078,0.27,1,8.7,0.031,0.073,0.665,0.334,0.367,20,0,20,20,9.8,0,64,3,0,25,26,0,0,22,0.1,0,0,0.5,0.112,0.032,0.073,0,225,"1 cup, mashed",150,"1 cup, sliced",36
32035,banquet,73.47,155,6.89,11.1,1.58,6.96,1,0.28,51,0.98,17,135,142,517,0.73,0.084,0.173,7.7,,0.062,0.12,1.38,,0.14,13,,13,,,0.38,,,,,,,,,0.29,,,,4.282,5.158,1.656,36,72,1 patty,,,0
18991,barbara dee,2,515,3.9,26,,67.1,2,35.8,,2.6,20,48,65,290,0.2,,,,,0.26,0.17,2.3,,,52,,,,,,,,,,,,,,,,,,18,2.7,3.8,0,31,4 cookies,,,0
07001,barbecue loaf,64.82,173,15.84,8.9,4.04,6.4,0,,55,1.16,17,132,329,1334,2.46,0.07,0.04,21.3,0,0.36,0.248,2.266,1.57,0.26,9,0,9,9,,1.68,68,3,0,,,,,,,0.9,36,,3.17,4.14,0.81,37,28.35,1 oz,23,"1 slice, (5-7/8"" x 3-1/2"" x 1/16"")",0
20004,barley,9.44,354,12.48,2.3,2.29,73.48,17.3,0.8,33,3.6,133,264,452,12,2.77,0.498,1.943,37.7,0,0.646,0.285,4.604,0.282,0.318,19,0,19,19,,0,22,1,0,0,13,0,0,160,0.57,0,0,2.2,0.482,0.295,1.108,0,184,1 cup,,,0
20130,barley flour or meal,12.11,345,10.5,1.6,1.28,74.52,10.1,0.8,32,2.68,96,296,309,4,2,0.343,1.034,37.7,0,0.37,0.114,6.269,0.145,0.396,8,0,8,8,37.8,0,0,0,0,0,0,0,0,160,0.57,0,0,2.2,0.335,0.205,0.771,0,148,1 cup,,,0
20131,barley malt flour,8.21,361,10.28,1.84,1.37,78.3,7.1,0.8,37,4.71,97,303,224,11,2.06,0.27,1.193,37.7,0.6,0.309,0.308,5.636,0.577,0.655,38,0,38,38,,0,19,1,0,0,11,0,0,160,0.57,0,0,2.2,0.386,0.254,0.953,0,162,1 cup,,,0
02044,basil,92.06,23,3.15,0.64,1.49,2.65,1.6,0.3,177,3.17,64,56,295,4,0.81,0.385,1.148,0.3,18,0.034,0.076,0.902,0.209,0.155,68,0,68,68,11.4,0,5275,264,0,0,3142,46,0,5650,0.8,0,0,414.8,0.041,0.088,0.389,0,2.5,5 leaves,5.3,"2 tbsp, chopped",36
15003,bass,75.66,114,18.86,3.69,1.52,0,0,,80,1.49,30,200,356,70,0.65,0.093,0.889,12.6,2,0.075,0.074,1.25,0.75,0.12,15,0,15,15,,2,100,30,30,,,,,,,,,,0.78,1.431,1.062,68,79,1 fillet,85,3 oz,0
11029,beans,90.7,29,4.2,0.5,0.5,4.1,,,17,0.81,21,37,187,6,0.4,0.159,0.182,0.6,38.7,0.37,0.25,2.92,0.368,0.085,59,0,59,59,,0,2,0,0,,,,,,,0,0,,0.072,0.039,0.276,0,184,1 cup,,,0
35007,bear,71.2,155,20.1,8.3,0.4,0,,,,7.2,,162,,,,,,,,0.16,0.68,3.2,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,0
18993,bear naked,7.5,423,6.6,16.9,,66.9,7,35.2,,3.7,54,88,471,200,0.8,,,,,0.07,0.04,0.3,,,2,,2,,,,,,,,,,,,,0.2,8,,4.1,8.4,4.2,0,30,1 cookie,,,0
12077,beechnuts,6.6,576,6.2,50,3.7,33.5,,,1,2.46,0,0,1017,38,0.36,0.67,1.341,,15.5,0.304,0.371,0.877,0.925,0.684,113,0,113,113,,0,0,0,0,,,,,,,,,,5.719,21.892,20.089,0,28.35,1 oz,,,39
13000,beef,73.42,117,23.07,2.69,1.69,0,0,0,9,1.85,23,212,342,55,3.61,0.068,0.009,21.1,0,0.052,0.124,6.703,0.678,0.651,13,0,13,13,65.1,1.27,0,0,0,0,0,0,0,0,0.22,,,0.9,1.032,0.995,0.108,55,85,3 oz,214,1 steak,34
19002,beef jerky,23.36,410,33.2,25.6,6.8,11,1.8,9,20,5.42,51,407,597,2081,8.11,0.227,0.111,10.7,0,0.154,0.142,1.732,0.163,0.179,134,0,134,134,109.1,0.99,0,0,0,0,0,0,0,0,0.49,0.3,11,2.3,10.85,11.305,1.011,48,28.35,1 oz,20,"1 piece, large",0
07954,beef sausage,43.75,405,15.5,37.57,3.16,0.03,0,0,15,1.53,13,185,234,822,2.92,0.066,0.042,0,0.7,0.028,0.117,3.21,0.401,0.192,5,0,5,5,42.8,2.03,114,25,23,11,11,11,15,0,0.49,0.6,25,2.1,15.098,16.387,1.025,83,48,1 serving,,,0
22905,beef stew,80.78,99,4.41,5.53,1.43,7.85,0.9,1.76,12,2.48,8,42,163,388,1,0.141,0.059,4.7,0.7,0.073,0.053,1.096,0.12,0.087,14,0,14,14,15.6,0.5,223,11,0,53,106,3,28,4,0.27,0,0,6.2,2.185,2.543,0.251,13,196,"1 cup, (1 serving)",,,0
07002,beerwurst,56.71,277,14,22.53,2.5,3.76,0.9,0,27,1.73,19,135,244,881,2.21,0.103,0.155,17.4,0.6,0.246,0.173,2.975,0.297,0.23,5,0,5,5,67.1,1.16,10,3,3,0,0,0,0,0,0.19,0.9,36,1.3,8.438,10.105,2.08,62,56,2 oz,,,0
11087,beet greens,89.13,27,2.57,0.2,2.64,5.46,2.9,0.6,114,1.9,68,41,909,241,0.5,0.251,0.514,0.9,24.9,0.117,0.289,0.499,0.329,0.132,14,0,14,14,0.5,0,7654,383,0,4,4590,0,0,1819,1.81,0,0,484,0.031,0.038,0.07,0,144,"1 cup, (1"" pieces)",72,".5 cup, (1"" pieces)",0
11080,beets,87.58,43,1.61,0.17,1.08,9.56,2.8,6.76,16,0.8,23,40,325,78,0.35,0.075,0.329,0.7,4.9,0.031,0.04,0.334,0.155,0.067,109,0,109,109,6,0,33,2,0,0,20,0,0,0,0.04,0,0,0.2,0.027,0.032,0.06,0,136,1 cup,82,"1 beet, (2"" dia)",33
14016,beverage,91.8,38,0.42,1.04,0.32,6.59,0.4,6.25,188,0.3,7,8,50,63,0.63,0.017,0.033,0.1,0,0.015,0.177,0.075,0.009,0.003,1,0,1,1,1,1.25,208,63,63,0,0,0,0,0,2.81,1,42,0,0,0.625,0.208,0,240,8 fl oz,240,1 cup,0
28338,bird,33.69,298,5.4,8.02,1.75,51.15,5.5,11.3,59,0.53,25,70,107,515,0.51,0.053,0.439,11,,0.135,0.27,1.405,,0.095,19,,19,,,,,,,,,,,,1.61,,,,0.629,4.721,1.957,,28,1 slice,,,0
18009,biscuit,26.7,338,6.2,11.03,2.2,53.87,1.3,3.48,49,3.3,17,430,224,942,0.48,0.083,0.392,18.8,0,0.427,0.292,3.352,0.3,0.047,70,58,12,111,20,0.14,2,0,0,0,0,0,0,9,1.32,0,0,4.1,1.676,4.647,4.178,1,28.35,1 oz,77,1 large,0
18009,biscuits,26.7,338,6.2,11.03,2.2,53.87,1.3,3.48,49,3.3,17,430,224,942,0.48,0.083,0.392,18.8,0,0.427,0.292,3.352,0.3,0.047,70,58,12,111,20,0.14,2,0,0,0,0,0,0,9,1.32,0,0,4.1,1.676,4.647,4.178,1,28.35,1 oz,77,1 large,0
17148,bison,65.09,179,25.45,8.62,1.02,0,0,0,14,3.19,23,213,353,76,5.34,0.151,,31.1,0,0.139,0.264,5.966,,0.401,16,0,16,16,97.2,2.44,0,0,0,0,0,0,0,0,0.2,0,0,1.3,3.489,3.293,0.402,71,85,3 oz,,,0
22979,black bean mango,75,115,3,3,1,18,6,3,29,0.6,,67,127,134,6,,,,21,,,,,,,,,,,,2650,795,,,,,,,,,0,,0,2,1,1,283,1 entree,,,0
09042,blackberries,88.15,43,1.39,0.49,0.37,9.61,5.3,4.88,29,0.62,20,22,162,1,0.53,0.165,0.646,0.4,21,0.02,0.026,0.646,0.276,0.03,25,0,25,25,8.5,0,214,11,0,0,128,0,0,118,1.17,0,0,19.8,0.014,0.047,0.28,0,144,1 cup,,,4
09043,blackberry juice,90.9,38,0.3,0.6,0.4,7.8,0.1,7.7,12,0.48,21,12,135,1,0.41,0.114,,0.3,11.3,0.012,0.018,0.446,,0.021,10,0,10,10,6.6,0,123,6,0,0,74,0,0,68,0.9,0,0,15.2,0.018,0.058,0.344,0,250,1 cup,,,0
11191,blackeye peas,77.2,90,2.95,0.35,0.67,18.83,5,3,126,1.1,51,53,431,4,1.01,0.13,0.56,2.3,2.5,0.11,0.145,1.45,0.151,0.067,168,0,168,168,,0,817,41,0,,,,,,,0,0,,0.09,0.032,0.15,0,145,1 cup,,,49
07005,blood sausage,47.3,379,14.6,34.5,2.31,1.29,0,1.29,6,6.4,8,22,38,680,1.3,0.04,0.01,15.5,0,0.07,0.13,1.2,0.6,0.04,5,0,5,5,72.8,1,0,0,0,0,0,0,0,0,0.13,1.3,52,0,13.4,15.9,3.46,120,100,4 slices,,,0
09050,blueberries,84.21,57,0.74,0.33,0.24,14.49,2.4,9.96,6,0.28,6,12,77,1,0.16,0.057,0.336,0.1,9.7,0.037,0.041,0.418,0.124,0.052,6,0,6,6,6,0,54,3,0,0,32,0,0,80,0.57,0,0,19.3,0.028,0.047,0.146,0,148,1 cup,68,50 berries,5
18566,blueberry muffin mix,6.4,407,4.7,8.7,2.75,77.45,,,,,,,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.865,3.742,1.679,,31,1 muffin,,,0
15005,bluefish,70.86,124,20.04,4.24,1.04,0,0,,7,0.48,33,227,372,60,0.81,0.053,0.021,36.5,0,0.058,0.08,5.95,0.828,0.402,2,0,2,2,,5.39,398,120,120,,,,,,,,,,0.915,1.793,1.06,59,150,1 fillet,85,3 oz,0
07007,bologna,55.31,299,10.91,26.13,3.37,4.29,0,2.05,21,1.29,13,154,351,1013,1.93,0.053,0.04,11.6,15.2,0.03,0.065,2.321,0.385,0.157,3,0,3,3,29.7,1.19,90,19,17,6,11,11,11,0,0.56,0.7,28,2.4,10.487,12.198,1.182,57,30,1 slice,28,1 serving,0
07937,bologna pork,45.37,336,11.56,29.25,7.15,6.66,0,1.35,31,1.2,14,128,222,1055,2.22,0.093,0.265,12.4,11,0.152,0.15,3.31,0.36,0.388,4,0,4,4,,1.08,0,0,0,0,0,0,0,0,0,,,,11.7,12.789,2.512,75,28.35,1 oz,,,0
07936,bologna pork turkey,64.87,211,13.06,16.06,2.56,3.45,0,0,48,1.15,17,94,138,716,0.73,0.082,0.155,5.6,0,0.159,0.097,3.072,0.34,0.163,18,0,18,18,,0.29,2,1,1,0,0,0,0,0,,,,,5.46,7.548,3.051,79,56,"1 serving, 2 oz",,,0
07011,bologna turkey,64.55,209,11.42,16.05,3.3,4.68,0.5,2.9,123,3,16,114,135,1071,1.3,0.072,0.051,15.4,13.3,0.049,0.095,2.607,0.466,0.243,9,0,9,9,54,0.23,32,9,9,0,0,0,0,0,0.45,0.6,26,0.3,4.355,6.836,3.854,75,28,".99 oz, 1 serving",28,1 serving,0
